,Gender,Age,Occupation,Zipcode
0,F,1,10,48067
1,M,56,16,70072
2,M,25,15,55117
3,M,45,7,02460
4,M,25,20,55455
5,F,50,9,55117
6,M,35,1,06810
7,M,25,12,11413
8,M,25,17,61614
9,F,35,1,95370
10,F,25,1,04093
11,M,25,12,32793
12,M,45,1,93304
13,M,35,0,60126
14,M,25,7,22903
15,F,35,0,20670
16,M,50,1,95350
17,F,18,3,95825
18,M,1,10,48073
19,M,25,14,55113
20,M,18,16,99353
21,M,18,15,53706
22,M,35,0,90049
23,F,25,7,10023
24,M,18,4,01609
25,M,25,7,23112
26,M,25,11,19130
27,F,25,1,14607
28,M,35,7,33407
29,F,35,7,19143
30,M,56,7,06840
31,F,25,0,19355
32,M,45,3,55421
33,F,18,0,02135
34,M,45,1,02482
35,M,25,3,94123
36,F,25,9,66212
37,F,18,4,02215
38,M,18,4,61820
39,M,45,0,10543
40,F,18,4,15116
41,M,25,8,24502
42,M,25,12,60614
43,M,45,17,98052
44,F,45,16,94110
45,M,18,19,75602
46,M,18,4,94305
47,M,25,4,92107
48,M,18,12,77084
49,F,25,2,98133
50,F,1,10,10562
51,M,18,4,72212
52,M,25,0,96931
53,M,50,1,56723
54,F,35,12,55303
55,M,35,20,60440
56,M,18,19,30350
57,M,25,2,30303
58,F,50,1,55413
59,M,50,1,72118
60,M,25,17,95122
61,F,35,3,98105
62,M,18,4,54902
63,M,18,1,53706
64,M,35,12,55803
65,M,25,18,57706
66,F,50,5,60181
67,M,18,4,53706
68,F,25,1,02143
69,M,18,4,53703
70,M,25,14,95008
71,F,45,0,55122
72,M,18,4,53706
73,M,35,14,94530
74,F,1,10,01748
75,M,35,7,55413
76,M,18,4,15321
77,F,45,1,98029
78,F,45,0,98103
79,M,56,1,49327
80,F,25,0,60640
81,M,25,17,48380
82,F,25,2,94609
83,M,18,4,53140
84,M,18,4,94945
85,F,1,10,54467
86,M,25,14,48360
87,F,45,1,02476
88,F,56,9,85749
89,M,56,13,85749
90,M,35,7,07650
91,F,18,4,44243
92,M,25,17,95825
93,M,25,17,28601
94,M,45,0,98201
95,F,25,16,78028
96,F,35,3,66210
97,F,35,7,33547
98,F,1,10,19390
99,M,35,17,95401
100,F,18,3,33314
101,M,35,19,20871
102,M,45,7,92104
103,M,25,12,00926
104,M,45,12,90277
105,F,35,11,79101
106,M,45,18,63129
107,M,25,12,30316
108,M,45,15,92028
109,M,25,2,90803
110,M,35,15,55416
111,M,25,16,97209
112,M,18,12,37032
113,F,25,2,83712
114,M,25,17,28083
115,M,25,17,55744
116,M,25,17,33314
117,M,35,17,22315
118,F,1,10,77515
119,M,25,11,27106
120,M,35,7,75229
121,F,18,4,94305
122,M,35,9,67208
123,M,56,7,91356
124,M,45,14,01701
125,M,18,9,98117
126,F,45,3,01770
127,M,56,6,37922
128,M,25,11,20164
129,M,35,17,50021
130,M,18,4,06520
131,M,25,17,99709
132,F,25,0,55071
133,M,25,0,66212
134,M,18,4,20006
135,M,18,2,21202
136,F,45,6,78758
137,M,18,20,22203
138,F,25,20,45409
139,F,35,1,55107
140,M,35,13,62035
141,M,25,7,10011
142,M,18,3,64043
143,M,25,17,29401
144,M,18,4,19081
145,F,35,20,10954
146,M,18,4,91360
147,M,50,17,57747
148,M,25,1,29205
149,M,35,7,98144
150,F,25,20,85013
151,M,18,4,48104
152,M,1,10,51537
153,M,50,20,94530
154,M,35,12,07470
155,F,45,7,14519
156,M,35,16,12866
157,M,56,7,28754
158,F,45,0,37922
159,M,35,7,13021
160,M,45,16,98107
161,F,18,4,93117
162,M,18,4,85013
163,F,56,13,94566
164,M,18,16,98502
165,M,18,4,92802
166,F,25,11,10022
167,F,50,0,46970
168,M,25,7,55439
169,M,25,11,07002
170,F,50,17,55441
171,M,25,3,07661
172,M,25,0,45237
173,M,25,16,21203
174,F,25,2,95123
175,F,18,3,55016
176,M,50,1,54016
177,M,56,17,53705
178,M,25,0,02135
179,M,45,12,01603
180,M,18,17,33186
181,M,18,4,03052
182,F,45,1,55407
183,F,25,0,19001
184,M,45,0,14468
185,M,18,5,91767
186,F,45,1,94061
187,M,56,16,79930
188,M,18,0,60076
189,M,25,17,55125
190,M,18,4,04915
191,M,18,1,10977
192,F,45,15,44106
193,F,1,10,29146
194,M,25,12,10458
195,F,35,9,94587
196,M,18,14,10023
197,M,25,12,55108
198,M,18,4,83706
199,F,18,4,84321
200,F,35,2,55117
201,M,18,4,53706
202,F,18,4,53715
203,M,25,7,92123
204,M,35,12,97333
205,M,25,17,20194
206,M,25,12,94115
207,M,35,17,55432
208,M,35,1,90048
209,F,1,10,25801
210,M,45,17,90620
211,M,25,16,53714
212,F,18,4,01609
213,M,18,20,80218
214,M,35,14,92075
215,M,45,13,52761
216,M,18,4,22903
217,M,35,14,95822
218,F,25,4,55113
219,M,25,12,22903
220,F,25,0,94063
221,M,25,1,55116
222,M,25,17,28262
223,F,18,4,14850
224,M,25,7,11215
225,M,35,1,94518
226,M,35,20,90291
227,M,25,15,55455
228,M,18,10,04576
229,M,45,1,43210
230,M,25,3,55455
231,M,25,20,55408
232,F,45,20,37919
233,M,35,7,39652
234,M,25,0,98153
235,M,25,5,55126
236,M,25,6,46835
237,F,50,7,90291
238,M,18,19,94618
239,M,50,17,55113
240,M,35,20,55121
241,F,18,4,53706
242,M,25,16,11576
243,M,50,7,19072
244,M,35,16,66046
245,F,18,4,60625
246,M,25,17,94404
247,M,18,17,72703
248,F,18,14,48126
249,M,35,16,11229
250,M,56,17,55105
251,M,25,12,94112
252,F,25,11,97370
253,M,35,17,49015
254,M,35,0,85310
255,M,45,16,55076
256,M,18,18,55113
257,M,25,7,55436
258,M,25,1,60615
259,M,18,19,98126
260,M,25,20,75801
261,F,25,1,68503
262,F,25,7,22304
263,M,35,0,20755
264,F,35,7,55116
265,M,35,11,75229
266,M,45,12,55001
267,F,18,12,29708
268,M,25,2,55408
269,M,50,14,55414
270,M,18,4,48202
271,M,18,0,80302
272,M,18,4,55427
273,M,18,4,55455
274,M,25,0,48162
275,M,45,16,01982
276,F,35,1,98126
277,M,45,18,60482
278,M,25,14,91214
279,M,50,7,19118
280,F,35,0,94117
281,M,25,17,94401
282,M,25,0,10003
283,M,25,12,91910
284,F,35,0,94109
285,M,25,1,54601
286,M,50,13,94706
287,F,25,12,97119
288,F,25,0,11801
289,F,25,20,94591
290,M,35,12,55110
291,M,35,7,19406
292,M,56,1,55337-
293,F,45,9,43147
294,M,18,0,80203
295,M,50,5,89432
296,M,18,2,97211
297,F,18,4,19010
298,M,25,12,97370
299,M,25,7,78664
300,M,18,4,61820
301,M,18,4,04901
302,M,25,7,20006
303,M,25,0,55414
304,F,18,0,55414
305,M,18,0,53051
306,M,50,16,90027
307,M,25,2,10025
308,M,25,4,16801
309,F,18,4,31207
310,M,18,4,31201
311,F,50,2,22207
312,F,18,4,02138
313,F,56,9,46911
314,F,56,1,55105
315,M,56,13,90740
316,M,35,7,38555
317,F,56,13,55104
318,F,50,6,33436
319,M,35,6,99516
320,M,18,4,55128
321,M,56,17,55117
322,M,45,12,53716
323,M,35,17,55106
324,F,50,3,55112
325,M,50,11,25302
326,M,35,18,55448
327,M,35,12,80401
328,M,35,7,02115
329,M,56,7,92065
330,M,25,7,55902
331,M,50,1,55109
332,M,35,2,55410
333,F,56,2,55113
334,M,35,18,55434
335,M,18,0,98765
336,M,18,19,80205
337,M,35,7,55116
338,M,50,7,80207
339,F,25,3,28001
340,F,56,13,92119
341,M,18,12,55076
342,F,35,3,55127
343,M,35,14,75034
344,M,25,12,94114
345,F,25,0,55110
346,F,56,1,55305
347,M,50,7,55110
348,M,1,10,08035
349,M,45,20,08035
350,M,18,4,55105
351,M,18,4,60115
352,F,35,7,92625
353,M,35,1,55117
354,M,18,3,55107
355,M,56,20,55101
356,M,18,0,98103
357,F,56,1,20815
358,M,25,17,55128
359,M,35,17,28208
360,F,25,14,94115
361,M,35,20,55407
362,M,18,10,55419
363,F,35,1,46815
364,F,18,4,02138
365,M,50,15,55126
366,M,50,12,55421
367,M,25,0,90293
368,M,35,1,55110
369,M,18,17,22304
370,M,18,4,02141
371,F,18,4,72227
372,F,25,2,55347
373,F,35,14,55346
374,M,25,2,55106
375,M,35,1,80026
376,M,25,17,55418
377,F,18,0,55105
378,F,35,1,54822
379,M,25,2,92024
380,M,35,17,89015
381,F,35,20,66205
382,F,25,7,78757
383,M,25,11,55075
384,M,25,6,68131
385,M,25,0,55408
386,F,35,7,55111
387,F,25,0,10021
388,M,25,6,68128
389,M,25,4,55405
390,M,45,11,22122
391,M,18,7,20037
392,M,35,17,55402
393,M,18,0,55013
394,M,18,5,55104
395,M,25,1,56187
396,M,35,17,22124
397,M,25,17,55454
398,F,35,6,55128
399,F,18,3,55422
400,M,18,0,55129
401,M,25,11,55427
402,M,18,4,02138
403,M,18,4,10128
404,M,56,1,13077
405,M,25,20,55105
406,M,18,17,89503
407,M,25,11,02143
408,M,18,12,55122
409,F,25,1,55417
410,F,45,1,43214
411,M,35,15,55117
412,M,25,11,55409
413,M,25,0,55317
414,F,35,0,55406
415,M,45,14,55076
416,F,25,0,50613
417,F,25,3,54016
418,M,18,3,55422
419,M,35,1,55406
420,F,45,3,55125
421,M,56,17,55104
422,M,18,4,55455
423,M,25,17,55112
424,M,25,12,55303
425,M,18,4,55455
426,M,35,12,55104
427,F,18,4,55455
428,M,18,0,54901
429,F,18,10,55306
430,M,18,10,55303
431,M,45,16,55306
432,M,50,6,55115
433,F,45,3,98155
434,M,25,7,55125
435,M,18,4,43023
436,M,35,17,55030
437,M,18,11,53705
438,M,35,14,55129
439,M,56,1,32940
440,M,35,1,55127
441,M,25,1,55105
442,M,25,3,55421
443,M,56,0,55108
444,M,45,12,55117
445,F,50,0,55042
446,F,45,11,55105
447,M,25,17,80123
448,M,25,7,85037
449,M,45,1,24523
450,M,56,13,54720
451,M,50,17,55117
452,M,18,4,55102
453,M,25,20,55092
